"","News.publishedAt","News.title"
"1","2018-04-16T20:59:08.000Z","DeKalb County teen killed, friend arrested"
"2","2018-04-19T13:39:30.000Z","Columbine principal reflects on 'worst nightmare' 19 years after shooting"
"3","2018-04-17T06:43:29.000Z","180127 - DeMatha v Patrick School 79-69 in Nightcap of NJ DC Collision"
"4","2018-04-19T16:41:36.000Z","No makeup makeup look |~ lifewithegypt ðŸ¥€ðŸ¥€"
"5","2018-04-13T22:00:35.000Z","Dennis Smith Jr (Rookie Mix) [Emotional] HD"
"6","2018-04-13T01:52:34.000Z","Dennis Smith Jr Schooling a Young Blood to Start His Offseason!"
"7","2018-04-24T05:17:29.000Z","Breaking News | Australian news show slammed for 'appalling' interview with Columbine shooting su..."
"8","2018-04-24T08:10:57.000Z","Breaking News | Australian news show slammed for 'appalling' interview with Columbine shooting surv"
"9","2018-04-13T17:43:56.000Z","Dennis Smith jr highlights ft creeping by lil skies"
"10","2018-04-19T00:22:53.000Z","DENNIS SMITH JR GETS BUCKETS"
"11","2018-04-10T23:48:04.000Z","Dennis Smith Jr. all 40 dunks from rookie season (2017-2018)"
